PharmaName,GEOID,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,TotalWomen
A PLUS PHARMACY,37119001801,7.0,0.0,0.0,0.0,29.0,163.0,145.0,26.0,37.0,37.0,444.0
ADVANCED HOME CARE,259582931014,413.0,389.0,205.0,327.0,729.0,1044.0,1366.0,1054.0,1081.0,996.0,7604.0
AKERS PHARMACY INCORPORATED,148380075000,219.0,184.0,60.0,31.0,300.0,507.0,696.0,678.0,400.0,450.0,3525.0
ALLEN DRUG,111357017169,273.0,6.0,0.0,18.0,250.0,316.0,558.0,740.0,354.0,309.0,2824.0
ALLEN DRUGS,74187911207,247.0,22.0,0.0,0.0,57.0,181.0,149.0,35.0,281.0,195.0,1167.0
ALMAND'S DRUG,74199014423,136.0,82.0,0.0,41.0,0.0,69.0,110.0,98.0,282.0,228.0,1046.0
AMERICARE PHARMACY CONSULTANTS,74042006409,98.0,34.0,0.0,85.0,74.0,30.0,285.0,116.0,125.0,112.0,959.0
ARCHDALE DRUG AT CORNERSTONE,37057060602,70.0,4.0,17.0,39.0,44.0,70.0,171.0,156.0,231.0,122.0,924.0
ARCHDALE DRUG COMPANY INCORPORATED,37151031602,19.0,31.0,32.0,22.0,0.0,45.0,1.0,58.0,57.0,19.0,284.0
ASHEVILLE DISCOUNT PHARMACY,74223941703,165.0,137.0,11.0,0.0,248.0,153.0,267.0,219.0,321.0,266.0,1787.0
ATKINSON DRUG,74173912202,179.0,88.0,51.0,56.0,148.0,114.0,277.0,334.0,195.0,178.0,1620.0
AULANDER PHARMACY INCORPORATED,111301861902,232.0,239.0,83.0,29.0,118.0,577.0,497.0,514.0,418.0,437.0,3144.0
AVERY PHARMACY,74038961200,22.0,33.0,31.0,2.0,87.0,223.0,139.0,101.0,15.0,119.0,772.0
BAILEY PHARMACY,111366044001,244.0,144.0,133.0,58.0,183.0,425.0,202.0,514.0,470.0,506.0,2879.0
BAKERSVILLE PHARMACY,37121950200,54.0,28.0,11.0,6.0,39.0,69.0,131.0,69.0,107.0,40.0,554.0
BANNER ELK PHARMACY,37189920702,0.0,21.0,23.0,4.0,14.0,103.0,63.0,153.0,72.0,148.0,601.0
BARBEE PHARMACY,37051001605,38.0,116.0,16.0,72.0,164.0,193.0,154.0,147.0,68.0,150.0,1118.0
BAYBORO PHARMACY,74099921003,118.0,115.0,24.0,75.0,276.0,331.0,293.0,33.0,234.0,319.0,1818.0
BEACH PHARMACY,37137990100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BEAUFORT DRUG COMPANY,37031970402,0.0,36.0,0.0,0.0,35.0,83.0,58.0,41.0,11.0,25.0,289.0
BEHAVIORAL HEALTH CENTER CAROLINA MEDICAL CENTER RANDOLPH PHARMACY,222592995738,294.0,151.0,62.0,81.0,191.0,734.0,684.0,703.0,498.0,559.0,3957.0
BELLS DRUG STORE,74063940707,85.0,78.0,13.0,0.0,65.0,110.0,71.0,53.0,220.0,83.0,778.0
BELMONT DRUG HEALTH MART PHARMACY,37119004900,19.0,0.0,0.0,18.0,0.0,19.0,0.0,5.0,19.0,0.0,80.0
BELMONT PHARMACY,185834154704,456.0,123.0,179.0,198.0,432.0,678.0,846.0,368.0,689.0,692.0,4661.0
BENNETTS PHARMACY,37081010401,12.0,12.0,0.0,0.0,46.0,105.0,44.0,62.0,20.0,80.0,381.0
